header,symbol,classification
wasmedge_basic.h,WasmEdge_VersionGet,direct
wasmedge_basic.h,WasmEdge_VersionGetMajor,direct
wasmedge_basic.h,WasmEdge_VersionGetMinor,direct
wasmedge_basic.h,WasmEdge_VersionGetPatch,direct
wasmedge_basic.h,WasmEdge_LogSetErrorLevel,semantic
wasmedge_basic.h,WasmEdge_LogSetDebugLevel,semantic
wasmedge_basic.h,WasmEdge_LogOff,direct
wasmedge_basic.h,WasmEdge_LogSetLevel,direct
wasmedge_basic.h,WasmEdge_LogSetCallback,direct
wasmedge_basic.h,WasmEdge_StringCreateByCString,semantic
wasmedge_basic.h,WasmEdge_StringCreateByBuffer,direct
wasmedge_basic.h,WasmEdge_StringWrap,semantic
wasmedge_basic.h,WasmEdge_StringIsEqual,semantic
wasmedge_basic.h,WasmEdge_StringCopy,semantic
wasmedge_basic.h,WasmEdge_StringDelete,direct
wasmedge_basic.h,WasmEdge_BytesCreate,direct
wasmedge_basic.h,WasmEdge_BytesWrap,direct
wasmedge_basic.h,WasmEdge_BytesDelete,direct
wasmedge_basic.h,WasmEdge_ResultOK,direct
wasmedge_basic.h,WasmEdge_ResultGen,direct
wasmedge_basic.h,WasmEdge_ResultGetCode,direct
wasmedge_basic.h,WasmEdge_ResultGetCategory,direct
wasmedge_basic.h,WasmEdge_ResultGetMessage,direct
wasmedge_value.h,WasmEdge_ValTypeGenI32,direct
wasmedge_value.h,WasmEdge_ValTypeGenI64,direct
wasmedge_value.h,WasmEdge_ValTypeGenF32,direct
wasmedge_value.h,WasmEdge_ValTypeGenF64,direct
wasmedge_value.h,WasmEdge_ValTypeGenV128,direct
wasmedge_value.h,WasmEdge_ValTypeGenFuncRef,direct
wasmedge_value.h,WasmEdge_ValTypeGenExternRef,direct
wasmedge_value.h,WasmEdge_ValTypeIsEqual,direct
wasmedge_value.h,WasmEdge_ValTypeIsI32,direct
wasmedge_value.h,WasmEdge_ValTypeIsI64,direct
wasmedge_value.h,WasmEdge_ValTypeIsF32,direct
